barrio,n_emprendedores,comuna,zona
robledo,14,7,nor-occidental
belen,12,16,sur-occidental
otro,10,0,otro
castilla,7,5,nor-occidental
buenos aires,6,9,centro-oriental
aranjuez,5,4,nor-oriental
la america,5,12,centro-oriental
campovaldes,5,4,nor-oriental
calasanz,5,12,centro-oriental
laureles,5,11,centro-oriental
manrique central no.2,5,3,nor-oriental
san antonio de prado,5,0,sur-occidental
boston,4,8,centro-oriental
moravia,3,4,nor-oriental
la floresta,3,12,centro-occidental
simon bolivar,3,12,centro-oriental
santa monica,3,12,centro-oriental
villahermosa,3,8,centro-oriental
san javier no.1,3,13,centro-occidental
francisco antonio zea,3,5,nor-occidental
guayabal,2,15,sur-oriental
manrique,2,3,nor-oriental
manrique oriental,2,3,nor-oriental
america - santa monica #2,2,12,centro-oriental
campo valdes no.2,2,3,nor-oriental
enciso,2,8,centro-oriental
corregimiento san cristobal,2,0,occidente
bombona,2,10,centro-oriental
villa hermosa,2,8,centro-oriental
santa cruz,2,2,nor-oriental
santa lucia,2,12,centro-oriental
boyaca,1,5,nor-occidental
boyaca las brisas,1,5,nor-occidental
estadio,1,11,centro-occidental
enciso final,1,8,centro-oriental
el velodromo,1,11,centro-occidental
el salvador,1,9,centro-oriental
el pradito,1,0,nor-occidental
el rodeo,1,15,sur-occidental
doce de octubre,1,6,nor-occidental
corregimiento santa helena,1,0,oriente
carlos e. restrepo,1,5,nor-occidental
colinas de enciso,1,8,centro-oriental
ciudad del rio,1,14,sur-oriental
centro,1,10,centro-oriental
buenos aires urbanizacion los cerros,1,9,centro-oriental
buenos aires miraflorez,1,9,centro-oriental
caicedo sector la libertad,1,8,centro-oriental
calazanz,1,12,centro-oriental
belen rosales,1,16,sur-oriental
barrio las palmas,1,10,centro-oriental
belen san bernardo,1,16,sur-oriental
las mercedes,1,16,sur-occidental
la ceja / reserva de san marcos,1,10,centro-oriental
niquitao,1,10,centro-oriental
naranjal,1,11,centro-oriental
miraflorez,1,9,centro-oriental
manrique - guadalupe,1,1,nor-oriental
los colores,1,11,centro-occidental
la loma de los bernal,1,16,sur-occidental
florida nueva,1,11,centro-occidental
la castellana,1,11,centro-occidental
la america los pinos,1,12,centro-oriental
granizal,1,1,nor-oriental
floresta los alcazares,1,13,centro-oriental
robledo kenedy,1,7,nor-occidental
robledo altamira,1,7,nor-occidental
popular 1,1,1,nor-oriental
poblado,1,14,sur-oriental
palmitas sector central,1,0,nor-occidental
pedregal,1,6,nor-occidental
nueva villa del aburra,1,16,sur-occidental
nuevo occidente san cristobal,1,0,occidente
san javier,1,13,centro-oriental
san diego / terrazas de san diego,1,10,centro-oriental
san joaquin,1,11,centro-occidental
robledo la campiña,1,7,nor-occidental
san antonio de prado vereda el vergel,1,0,sur-occidental
san diego,1,10,centro-oriental
robledo la pola,1,7,nor-occidental
salvador,1,9,centro-oriental
santa elena parte central,1,0,oriente
santa elena,1,0,oriente
san miguel,1,8,centro-oriental
san jose la cima no.1,1,3,nor-oriental
san javier el departamento,1,13,centro-oriental
santa monica #1,1,12,centro-oriental
santa helena - el charrascal,1,0,oriente
santa helena - vereda paisandú,1,0,oriente
sucre,1,10,centro-oriental
sevilla,1,4,nor-oriental
sucre parte alta,1,8,centro-oriental
trinidad,1,15,sur-occidental
velodromo,1,11,centro-oriental
unidad residencial la macarena - naranjal,1,11,centro-oriental
villa mercedes colina de enciso,1,8,centro-oriental
villatina los charcos,1,8,centro-oriental
