barrio_norm,n_sedes,total_registros,media_registros_sede,max_registros_sede,comuna
la candelaria,15,931606.77,6509.1,24298.0,10.0
aranjuez,11,800757.3,7621.9,26441.0,4.0
castilla,10,662708.316,6438.7,34600.0,5.0
manrique,9,563121.0,5367.2,17718.0,3.0
guayabal,9,530633.998,5516.8,40461.0,15.0
san javier,14,519143.0,3847.5,13283.0,13.0
popular,8,501580.0,6251.0,20375.0,1.0
laureles estadio,16,479588.0,2860.6,10099.0,11.0
doce de octubre,10,358253.0,4178.9,13045.0,6.0
san cristóbal,6,350589.23600000003,5611.6,18223.0,60.0
belén,10,346681.0,4507.2,25459.0,16.0
buenos aires,6,317609.0,5060.1,16864.0,9.0
santa elena,5,256025.263,4411.0,13836.44,90.0
altavista,7,246010.0,3688.3,8715.0,70.0
el poblado,5,226715.709,5429.1,22922.0,14.0
santa cruz,7,221343.0,3854.4,9416.0,2.0
la américa,11,209253.0,2513.7,14096.0,12.0
villa hermosa,7,195996.0,3919.7,12520.0,8.0
san antonio de prado,3,81643.0,2749.5,12574.0,80.0
san sebastián de palmitas,3,77157.306,2675.0,12839.306,50.0
robledo,5,57499.0,1807.3,5430.0,7.0
