comuna,n_sedes,total_registros,media_mensual_sede,nombre_comuna
10.0,15,931606.77,6509.106666666666,La Candelaria
4.0,11,800757.3,7621.863636363636,Aranjuez
5.0,10,662708.316,6438.6900000000005,Castilla
3.0,9,563121.0,5367.177777777778,Manrique
15.0,9,530633.998,5516.81111111111,Guayabal
13.0,14,519143.0,3847.4785714285713,San Javier
1.0,8,501580.0,6251.0125,Popular
11.0,16,479588.0,2860.6125,Laureles-Estadio
6.0,10,358253.0,4178.9,Doce de Octubre
60.0,6,350589.23600000003,5611.599999999999,
16.0,10,346681.0,4507.22,Belén
9.0,6,317609.0,5060.133333333333,Buenos Aires
90.0,5,256025.263,4411.0,
70.0,7,246010.0,3688.257142857143,
14.0,5,226715.709,5429.12,El Poblado
2.0,7,221343.0,3854.4,Santa Cruz
12.0,11,209253.0,2513.690909090909,La América
8.0,7,195996.0,3919.6857142857143,Villa Hermosa
80.0,3,81643.0,2749.5333333333333,
50.0,3,77157.306,2675.0333333333333,
7.0,5,57499.0,1807.2599999999998,Robledo
