sede_norm,total_registros,media_mensual,mediana_mensual,max_mensual,min_mensual,std_mensual,n_meses,barrio_norm,comuna
@medellín - sapiencia,828.0,828.0,828.0,828.0,828.0,,1,,
"\upss manrique \""\""hermenegildo de fex\""\""\""""",103883.0,14840.4,15495.0,19061.0,6225.0,4028.0681414768733,7,,
"\velodromo martín \""\""cochise\""\"" rodríguez\""""",10571.0,1510.1,1590.0,2174.0,458.0,544.1229727954973,7,,
"\velódromo martín \""\""cochise\""\"" rodríguez\""""",514.0,514.0,514.0,514.0,514.0,,1,,
"\velódromo martín emilio \""\""cochise\""\"" rodríguez\""""",3247.0,811.8,806.0,894.0,741.0,69.70114776673337,4,,
aeroparque juan pablo segundo,60159.0,5013.2,4672.5,9796.0,1863.0,3019.0664157529354,12,guayabal,15.0
ampliación 1 estación caribe (norte),55802.0,7971.7,7773.0,13652.0,3435.0,3016.7860223691546,7,,
ampliación 2 estación caribe (sur),50685.0,7240.7,7343.0,11756.0,2196.0,2836.2723020592666,7,,
ampliación estación estadio,149570.0,18696.2,20484.0,25332.0,9968.0,5282.972154546556,8,,
ampliación la honda,75648.0,6304.0,5746.5,13856.0,1613.0,3898.8697429803,12,manrique,3.0
ampliación museo cementerio san pedro,15069.0,1255.8,980.0,4395.0,411.0,1053.01706150384,12,aranjuez,4.0
ampliación parque de la pilarica,19971.0,1815.5,1858.0,4088.0,652.0,1153.0824223477143,11,,
ampliación parque la pilarica,673.0,673.0,673.0,673.0,673.0,,1,robledo,7.0
ampliación plazoleta estación estadio,44301.0,11075.2,12329.0,15374.0,4269.0,5170.406778001127,4,,
arroba medellín- sapiencia,412.0,412.0,412.0,412.0,412.0,,1,,
arroba medellín-sapiencia,2436.0,812.0,902.0,996.0,538.0,241.9008061168875,3,,
aula ambiental la america,40749.0,5821.3,5818.0,8929.0,2546.0,1913.5831759891105,7,,
aula ambiental la américa,2671.0,2671.0,2671.0,2671.0,2671.0,,1,,
aula ambiental mi rio,17618.0,2516.9,2728.0,3459.0,415.0,969.8349393189594,7,,
aula ambiental paseo del río,3568.0,713.6,761.0,882.0,516.0,153.85155182837772,5,,
aula ambiental plaza la américa,8435.0,2108.8,2334.0,3070.0,697.0,1060.3453446872863,4,la américa,12.0
banco de las oportunidades,18396.0,2628.0,2698.0,3454.0,1012.0,785.3487548004814,7,,
banco de los pobres,6242.0,1248.4,1472.0,1685.0,411.0,505.2037212847902,5,,
bello oriente (sector palomar),82725.0,6893.8,7240.0,10445.0,3411.0,2358.8693410576643,12,santa elena,90.0
bolera unidad deportiva andres escobar,18563.0,2651.9,2679.0,4228.0,579.0,1178.290347434427,7,,
bolera unidad deportiva andrés escobar,5160.0,1032.0,1210.0,1343.0,574.0,338.09540073772075,5,belén,16.0
canal parque telemedellín,3365.0,673.0,785.0,859.0,392.0,215.89928207384108,5,el poblado,14.0
cancha aguas frías parte alta,18531.0,2647.3,3153.0,3392.0,508.0,1022.8863922394174,7,altavista,70.0
