barrio,sede
Popular,Parque de Guadalupe
Popular,Unidad Deportiva Granizal
Popular,Plazoleta Entre I.E. Antonio Derka y la I.E. Santo Domingo Savio
Popular,CVS Popular (CEDEZO Santo Domingo)
Popular,Plazoleta Estación Metrocable Popular 1 (exterior)
Popular,Casa de Justicia Santo Domingo
Popular,Centro de Salud Carpinelo
Popular,Centro de Salud Santo Domingo Savio
Popular,Plazoleta Estación Santo Domingo Metrocable (exterior)
Popular,Parque La Candelaria
Popular,Cancha de Futbol el Rompoy Popular N1
Popular,Parque Lineal La Herrera Santo Domingo
Popular,Plazoleta Granizal
Popular,Parque Fe y Alegría
Popular,Cancha el compromiso
Santa Cruz,Casa de Justicia Villa del Socorro
Santa Cruz,Parque la torre Belalcázar
Santa Cruz,UPSS Santa Cruz
Santa Cruz,Centro de Salud Pablo VI
Santa Cruz,Parque Pablo VI
Santa Cruz,Cancha Sintética Villa del Socorro
Santa Cruz,Coliseo Andalucía
Santa Cruz,CEDEZO Santa Cruz
Santa Cruz,Cancha de Fútbol La Frontera
Santa Cruz,Barrio Sinaí
Santa Cruz,Parque la Isla
Santa Cruz,Cancha polideportiva la isla
Manrique,CVS Manrique (CEDEZO Manrique)
Manrique,Unidad Deportiva San Blas
Manrique,Unidad Deportiva El Raizal
Manrique,Centro de Salud La Cruz
Manrique,Centro de Salud San Blas
Manrique,Centro de Salud El Raizal
Manrique,Parque Gaitán
Manrique,Estación Gardel Metroplus (exterior)
Manrique,La Honda
Manrique,La Cruz
Manrique,Ampliación La Honda
Manrique,Centralidad Versalles N° 2
Manrique,Ruta De La Memoria – Unidad Deportiva Santa Ines
Aranjuez,Centro Cultural Moravia
Aranjuez,Jardín Botánico
Aranjuez,Parque Aranjuez
Aranjuez,Parque de los deseos
Aranjuez,Parque Explora
Aranjuez,Parque Norte
Aranjuez,Parque Principal Campo Valdés (El Calvario)
Aranjuez,Inspección Aranjuez
Aranjuez,Hospital Infantil Concejo de Medellín
Aranjuez,Parque Berlín (contiguo estación Berlín Metro)
Aranjuez,Estación Metro Universidad (interior torniquete acceso Parque Explora)
Aranjuez,Ampliación Museo Cementerio San Pedro
Aranjuez,Cancha de Fútbol en Grama Sintética San Nicolás
Aranjuez,Cancha Sintética Las Esmeraldas
Aranjuez,Parque Norte Zona Infantil
Aranjuez,Placa Polideportiva Moravia
Aranjuez,Parque la Piñuela
Aranjuez,Parque Madre Laura Aranjuez
Aranjuez,Cancha San Isidro
Castilla,Parque Florencia
Castilla,Parque Juanes de la Paz
Castilla,Pista de Patinaje Francisco Antonio Zea
Castilla,Secretaría de Movilidad (Oficina Castilla)
Castilla,Terminal del Norte
Castilla,Parque Girardot
Castilla,CAV Parque Juanes de la Paz
Castilla,UPSS Castilla
Castilla,Centro de Salud Alfonso López
Castilla,Unidad Deportiva Tricentenario
Castilla,Placa Divino Niño
Castilla,Unidad Deportiva José René Higuita
Castilla,Mascerca Castilla
Castilla,Cancha la María
Castilla,Cancha la Tinaja
Castilla,Plazoleta Estación Metro Caribe (exterior cancha Polideportiva Moravia Caribe)
Castilla,Estación Metro Acevedo (interior)
Castilla,Ampliacion 1 Estación Metro Caribe Costado Norte (exterior torniquetes)
Castilla,Ampliacion 2 Estación Metro Caribe Costado Sur (exterior torniquetes)
Castilla,Cancha Alfonso López
Castilla,Cancha polideportiva Boyacá (se traslada de Pista de BMX Mariana Pajón)
Castilla,Placa Polideportiva Brisas del Norte
Castilla,Cancha de Fútbol Boyacá
Castilla,Placa polideportiva La Playita
Castilla,Parque Alfonso López
Castilla,Parque las Brisas
Castilla,Parque las Iguanas
Castilla,Tricentenario-Parque de Banderas
Castilla,Parque Iglesia Tricentenario
Castilla,Parque La Torre Belalcázar
Castilla,Parque de los abuelos
Castilla,Huerta de Vilma
Castilla,Parque sendero de la orquídeas
Castilla,Parque Skate Castilla
Castilla,Parque Israel Florencia
Castilla,Parque Gratamira
Castilla,CVS Castilla
Doce de Octubre,Unidad Deportiva Doce de Octubre
Doce de Octubre,Centralidad Deportiva El Progreso N°2
Doce de Octubre,Teatro al Aire Libre y Parque El Pedregal
Doce de Octubre,UPSS Doce de Octubre
Doce de Octubre,Parque Kennedy
Doce de Octubre,Casa de La Cultura Pedregal
Doce de Octubre,Centro de Salud Picachito
Doce de Octubre,Inspección N°6 Doce de Octubre
Doce de Octubre,Parque deportivo y recreativo La Tinajita
Doce de Octubre,Cancha Sintética La Maracaná
Doce de Octubre,Cancha Sintética el Polvorín
Doce de Octubre,Placa Polideportiva los Lotes
Doce de Octubre,Parque los Jubilados
