comuna,barrio,sede
Comuna 1,Popular,Parque de Guadalupe
Comuna 1,Popular,Unidad Deportiva Granizal
Comuna 1,Popular,Plazoleta Entre I.E. Antonio Derka y la I.E. Santo Domingo Savio
Comuna 1,Popular,CVS Popular (CEDEZO Santo Domingo)
Comuna 1,Popular,Plazoleta Estación Metrocable Popular 1 (exterior)
Comuna 1,Popular,Casa de Justicia Santo Domingo
Comuna 1,Popular,Centro de Salud Carpinelo
Comuna 1,Popular,Centro de Salud Santo Domingo Savio
Comuna 1,Popular,Plazoleta Estación Santo Domingo Metrocable (exterior)
Comuna 1,Popular,Parque La Candelaria
Comuna 1,Popular,Cancha de Futbol el Rompoy Popular N1
Comuna 1,Popular,Parque Lineal La Herrera Santo Domingo
Comuna 1,Popular,Plazoleta Granizal
Comuna 1,Popular,Parque Fe y Alegría
Comuna 1,Popular,Cancha el compromiso
Comuna 2,Santa Cruz,Casa de Justicia Villa del Socorro
Comuna 2,Santa Cruz,Parque la torre Belalcázar
Comuna 2,Santa Cruz,UPSS Santa Cruz
Comuna 2,Santa Cruz,Centro de Salud Pablo VI
Comuna 2,Santa Cruz,Parque Pablo VI
Comuna 2,Santa Cruz,Cancha Sintética Villa del Socorro
Comuna 2,Santa Cruz,Coliseo Andalucía
Comuna 2,Santa Cruz,CEDEZO Santa Cruz
Comuna 2,Santa Cruz,Cancha de Fútbol La Frontera
Comuna 2,Santa Cruz,Barrio Sinaí
Comuna 2,Santa Cruz,Parque la Isla
Comuna 2,Santa Cruz,Cancha polideportiva la isla
Comuna 3,Manrique,CVS Manrique (CEDEZO Manrique)
Comuna 3,Manrique,Unidad Deportiva San Blas
Comuna 3,Manrique,Unidad Deportiva El Raizal
Comuna 3,Manrique,Centro de Salud La Cruz
Comuna 3,Manrique,Centro de Salud San Blas
Comuna 3,Manrique,Centro de Salud El Raizal
Comuna 3,Manrique,Parque Gaitán
Comuna 3,Manrique,Estación Gardel Metroplus (exterior)
Comuna 3,Manrique,La Honda
Comuna 3,Manrique,La Cruz
Comuna 3,Manrique,Ampliación La Honda
Comuna 3,Manrique,Centralidad Versalles N° 2
Comuna 3,Manrique,Ruta De La Memoria – Unidad Deportiva Santa Ines
Comuna 4,Aranjuez,Centro Cultural Moravia
Comuna 4,Aranjuez,Jardín Botánico
