edad,sexo,tipo_de_emprendimiento,idea_de_negocio,barrio_vereda_ciudadano,comuna_ciudadano,zona_ciudadano
63.0,masculino,artesanal,emprendedor,robledo,7,nor-occidental
56.0,masculino,artesanal,emprendedor,bombona,10,centro-oriental
74.0,masculino,artesanal,emprendedor,guayabal,15,sur-oriental
54.0,femenino,artesanal,emprendedor,america - santa monica #2,12,centro-oriental
50.0,femenino,artesanal,emprendedor,america - santa monica #2,12,centro-oriental
52.0,femenino,artesanal,emprendedor,san javier,13,centro-oriental
27.0,femenino,artesanal,emprendedor,robledo,7,nor-occidental
61.0,masculino,artesanal,emprendedor,campovaldes,4,nor-oriental
43.0,femenino,artesanal,emprendedor,doce de octubre,6,nor-occidental
39.0,femenino,artesanal,emprendedor,santa elena parte central,90,oriente
44.0,masculino,artesanal,emprendedor,manrique,3,nor-oriental
39.0,femenino,artesanal,emprendedor,manrique oriental,3,nor-oriental
59.0,masculino,artesanal,emprendedor,aranjuez,4,nor-oriental
53.0,femenino,artesanal,emprendedor,campovaldes,4,nor-oriental
41.0,femenino,artesanal,emprendedor,unidad residencial la macarena - naranjal,11,centro-oriental
51.0,masculino,artesanal,emprendedor,castilla,5,nor-occidental
56.0,femenino,artesanal,emprendedor,santa elena,90,oriente
36.0,masculino,artesanal,emprendedor,campovaldes,4,nor-oriental
54.0,masculino,artesanal,emprendedor,castilla,5,nor-occidental
32.0,femenino,artesanal,emprendedor,castilla,5,nor-occidental
33.0,femenino,artesanal,emprendedor,ciudad del rio,14,sur-oriental
56.0,femenino,artesanal,emprendedor,francisco antonio zea,5,nor-occidental
69.0,femenino,artesanal,emprendedor,boston,8,centro-oriental
45.0,femenino,artesanal,emprendedor,francisco antonio zea,5,nor-occidental
52.0,femenino,artesanal,emprendedor,enciso,8,centro-oriental
37.0,femenino,artesanal,emprendedor,corregimiento san cristobal,60,occidente
52.0,femenino,artesanal,emprendedor,villahermosa,8,centro-oriental
67.0,femenino,artesanal,emprendedor,calazanz,12,centro-oriental
33.0,masculino,artesanal,emprendedor,francisco antonio zea,5,nor-occidental
52.0,femenino,artesanal,emprendedor,manrique,3,nor-oriental
37.0,masculino,artesanal,emprendedor,miraflorez,9,centro-oriental
53.0,femenino,artesanal,emprendedor,colinas de enciso,8,centro-oriental
53.0,femenino,artesanal,emprendedor,robledo,6,nor-occidental
68.0,masculino,artesanal,emprendedor,simon bolivar,12,centro-oriental
52.0,femenino,artesanal,emprendedor,corregimiento santa helena,90,oriente
26.0,femenino,artesanal,emprendedor,poblado,14,sur-oriental
40.0,femenino,artesanal,emprendedor,nuevo occidente san cristobal,60,occidente
60.0,femenino,artesanal,emprendedor,san miguel,8,centro-oriental
70.0,masculino,artesanal,emprendedor,floresta los alcazares,13,centro-oriental
65.0,masculino,artesanal,emprendedor,villahermosa,8,centro-oriental
42.0,masculino,artesanal,emprendedor,robledo,7,nor-occidental
40.0,masculino,artesanal,emprendedor,sucre,10,centro-oriental
72.0,femenino,artesanal,emprendedor,velodromo,11,centro-oriental
34.0,masculino,artesanal,emprendedor,santa helena - vereda paisandú,90,oriente
56.0,femenino,artesanal,emprendedor,belen san bernardo,16,sur-oriental
57.0,masculino,artesanal,emprendedor,santa monica,12,centro-oriental
37.0,femenino,artesanal,emprendedor,santa helena - el charrascal,90,oriente
43.0,femenino,artesanal,emprendedor,campovaldes,4,nor-oriental
63.0,femenino,artesanal,emprendedor,buenos aires,9,centro-oriental
33.0,masculino,artesanal,emprendedor,caicedo sector la libertad,8,centro-oriental
23.0,masculino,artesanal,emprendedor,niquitao,10,centro-oriental
58.0,femenino,artesanal,emprendedor,villa mercedes colina de enciso,8,centro-oriental
38.0,femenino,artesanal,emprendedor,centro,10,centro-oriental
28.0,masculino,artesanal,emprendedor,laureles,11,centro-oriental
62.0,femenino,artesanal,emprendedor,sucre parte alta,8,centro-oriental
63.0,femenino,artesanal,emprendedor,robledo la campiña,7,nor-occidental
64.0,femenino,artesanal,emprendedor,san antonio de prado,80,sur-occidental
66.0,femenino,artesanal,emprendedor,san diego / terrazas de san diego,10,centro-oriental
51.0,femenino,artesanal,emprendedor,salvador,9,centro-oriental
57.0,femenino,artesanal,emprendedor,barrio las palmas,10,centro-oriental
61.0,femenino,artesanal,emprendedor,calasanz,12,centro-oriental
47.0,femenino,artesanal,emprendedor,san javier el departamento,13,centro-oriental
55.0,masculino,artesanal,emprendedor,san antonio de prado vereda el vergel,80,sur-occidental
34.0,masculino,artesanal,emprendedor,moravia,4,nor-oriental
40.0,masculino,artesanal,emprendedor,aranjuez,4,nor-oriental
65.0,femenino,artesanal,emprendedor,castilla,5,nor-occidental
41.0,masculino,artesanal,emprendedor,buenos aires miraflorez,9,centro-oriental
50.0,masculino,artesanal,emprendedor,belen rosales,16,sur-oriental
60.0,femenino,artesanal,emprendedor,simon bolivar,12,centro-oriental
45.0,masculino,artesanal,emprendedor,villahermosa,8,centro-oriental
52.0,femenino,artesanal,emprendedor,la america,12,centro-oriental
58.0,femenino,artesanal,emprendedor,naranjal,11,centro-oriental
68.0,masculino,artesanal,emprendedor,buenos aires,9,centro-oriental
75.0,femenino,artesanal,emprendedor,boston,8,centro-oriental
53.0,masculino,artesanal,emprendedor,santa lucia,12,centro-oriental
52.0,masculino,artesanal,emprendedor,buenos aires urbanizacion los cerros,9,centro-oriental
63.0,masculino,artesanal,emprendedor,robledo,7,nor-occidental
66.0,masculino,artesanal,emprendedor,villatina los charcos,8,centro-oriental
65.0,masculino,artesanal,emprendedor,enciso final,8,centro-oriental
61.0,masculino,artesanal,emprendedor,santa monica #1,12,centro-oriental
58.0,masculino,artesanal,emprendedor,manrique - guadalupe,1,nor-oriental
49.0,masculino,artesanal,emprendedor,bombona,10,centro-oriental
63.0,masculino,artesanal,emprendedor,la ceja / reserva de san marcos,10,centro-oriental
58.0,femenino,artesanal,emprendedor,buenos aires,9,centro-oriental
56.0,masculino,artesanal,emprendedor,castilla,5,nor-occidental
45.0,femenino,artesanal,emprendedor,la america,12,centro-oriental
35.0,femenino,artesanal,emprendedor,moravia,4,nor-oriental
60.0,femenino,artesanal,emprendedor,robledo la pola,7,nor-occidental
54.0,femenino,artesanal,emprendedor,la america,12,centro-oriental
56.0,femenino,artesanal,emprendedor,sevilla,4,nor-oriental
56.0,femenino,artesanal,emprendedor,campovaldes,4,nor-oriental
59.0,masculino,artesanal,emprendedor,la america los pinos,12,centro-oriental
59.0,femenino,artesanal,emprendedor,buenos aires,9,centro-oriental
48.0,masculino,artesanal,emprendedor,enciso,8,centro-oriental
44.0,femenino,artesanal,emprendedor,robledo kenedy,7,nor-occidental
44.0,femenino,artesanal,emprendedor,santa cruz,2,nor-oriental
48.0,femenino,artesanal,emprendedor,popular 1,1,nor-oriental
34.0,femenino,artesanal,emprendedor,robledo altamira,7,nor-occidental
61.0,masculino,artesanal,emprendedor,corregimiento san cristobal,60,occidente
72.0,femenino,artesanal,emprendedor,santa monica,12,centro-oriental
43.0,femenino,artesanias,"ceramica, trabajo en madera, tejidos, puntillismo/ productos de linea hogar / cojines y todos los productos relacionados",otro,99-otro,otro
25.0,femenino,artesanias,filigrana / plata accesorios,robledo,07-robledo,nor-occidental
51.0,femenino,basica,"artesano / atrapa sueños, cajas en mdf, libretas, cascadas",castilla,05-castilla,nor-occidental
51.0,femenino,artesanias,filigrana momposina / accesorios,robledo,07-robledo,nor-occidental
54.0,femenino,artesanias,"producto de tendecia / atrapasueño, accesorios en madera cuero y ceramica, etnicos",las mercedes,16-belen,sur-occidental
39.0,femenino,no_formal,"reciclando almas / de manera educativa concientizar a mis estudiantes de la conservacion del planeta mediante articulos reciclados: bolsos, lamparas, canastas",aranjuez,04-aranjuez,nor-oriental
58.0,femenino,artesanias,textil tejeduria,otro,99-otro,otro
