Sedes,Autenticación_Correo,Autenticación_Facebook,Autenticación_Googleplus,Autenticación_Linkedin,Autenticación_Twitter,Rango_edad_desconocido,Rango_edad_De_14_a_17_Años,Rango_edad_De_18_a_28_Años,Rango_edad_De_29_a_50_Años,Rango_edad_Mayor_de_50_Años,Rango_edad_Menor_de_13_Años,Dispositivo_conexión_Computadora_personal,Dispositivo_conexión_Smartphone,Dispositivo_conexión_Tablet,Género_desconocido,Sexo_Femenino,Sexo_Masculino,Género_Otro,Mes,Año
Aeroparque Juan Pablo Segundo,6762,450,51,0,4,5554,183,924,543,53,10,124,6988,155,5320,835,1097,15,Julio,2018.0
Ampliación 1 Estación Caribe (Norte),6776,200,5,0,0,5402,137,884,511,36,11,242,6696,43,5352,693,915,21,Julio,2018.0
Ampliación 2 Estación Caribe (Sur),6044,225,20,0,2,5108,111,669,347,38,18,55,6204,32,5002,478,798,13,Julio,2018.0
Ampliación Estación Estadio,19760,768,17,0,5,16676,350,2126,1260,97,41,178,20265,107,16284,1626,2601,39,Julio,2018.0
Ampliación La Honda,9555,424,15,0,5,7886,313,1251,474,48,27,123,9791,85,7781,977,1216,25,Julio,2018.0
Ampliación Museo Cementerio San Pedro,1591,50,1,0,1,1324,36,185,91,7,0,22,1615,6,1308,151,181,3,Julio,2018.0
Ampliación Parque de la Pilarica,2832,104,4,0,0,2243,46,403,224,20,4,64,2859,17,2188,325,426,1,Julio,2018.0
Aula Ambiental La america,4672,324,9,3,12,3845,82,528,492,63,10,57,4914,49,3601,676,736,7,Julio,2018.0
Aula Ambiental Mi Rio,2609,103,3,0,1,2022,54,359,253,21,7,37,2669,10,1978,302,431,5,Julio,2018.0
Banco de las oportunidades,2513,77,1,0,2,1954,47,382,194,13,3,26,2558,9,1923,373,290,7,Julio,2018.0
Bello Oriente (Sector Palomar),8485,307,3,0,3,7142,289,915,351,77,24,101,8609,88,7153,742,893,10,Julio,2018.0
Bolera Unidad Deportiva Andres Escobar,2813,141,2,1,4,2370,60,329,179,16,7,51,2890,20,2300,252,405,4,Julio,2018.0
Cancha de Arena El Manzanillo,7496,377,45,0,1,6226,229,887,465,86,26,154,7715,50,6064,792,1047,16,Julio,2018.0
Casa de Gobierno Altavista,2177,63,4,0,0,1814,37,218,156,14,5,384,1844,16,1789,207,244,4,Julio,2018.0
Casa de Gobierno San Antonio De Prado,3379,130,19,0,1,2722,90,385,258,65,9,83,3430,16,2660,389,477,3,Julio,2018.0
Casa de Gobierno San Sebastián de Palmitas,1688,67,3,0,3,1323,31,183,211,12,1,98,1620,43,1281,144,329,7,Julio,2018.0
Casa de Gobierno Santa Elena,2955,167,0,0,1,2431,89,294,276,22,11,94,3009,20,2364,379,373,7,Julio,2018.0
CASA DE JUSTICIA 20 DE JULIO,11592,478,12,0,5,9482,319,1393,792,63,38,313,11626,148,9347,1181,1542,17,Julio,2018.0
