comuna,barrio,sede
1,Popular,Parque de Guadalupe
1,Popular,Unidad Deportiva Granizal
1,Popular,Plazoleta Entre I.E. Antonio Derka y la I.E. Santo Domingo Savio
1,Popular,CVS Popular (CEDEZO Santo Domingo)
1,Popular,Plazoleta Estación Metrocable Popular 1 (exterior)
1,Popular,Casa de Justicia Santo Domingo
1,Popular,Centro de Salud Carpinelo
1,Popular,Centro de Salud Santo Domingo Savio
1,Popular,Plazoleta Estación Santo Domingo Metrocable (exterior)
1,Popular,Parque La Candelaria
1,Popular,Cancha de Futbol el Rompoy Popular N1
1,Popular,Parque Lineal La Herrera Santo Domingo
1,Popular,Plazoleta Granizal
1,Popular,Parque Fe y Alegría
1,Popular,Cancha el compromiso
2,Santa Cruz,Casa de Justicia Villa del Socorro
2,Santa Cruz,Parque la torre Belalcázar
2,Santa Cruz,UPSS Santa Cruz
2,Santa Cruz,Centro de Salud Pablo VI
2,Santa Cruz,Parque Pablo VI
2,Santa Cruz,Cancha Sintética Villa del Socorro
2,Santa Cruz,Coliseo Andalucía
2,Santa Cruz,CEDEZO Santa Cruz
2,Santa Cruz,Cancha de Fútbol La Frontera
2,Santa Cruz,Barrio Sinaí
2,Santa Cruz,Parque la Isla
2,Santa Cruz,Cancha polideportiva la isla
3,Manrique,CVS Manrique (CEDEZO Manrique)
3,Manrique,Unidad Deportiva San Blas
3,Manrique,Unidad Deportiva El Raizal
3,Manrique,Centro de Salud La Cruz
3,Manrique,Centro de Salud San Blas
3,Manrique,Centro de Salud El Raizal
3,Manrique,Parque Gaitán
3,Manrique,Estación Gardel Metroplus (exterior)
3,Manrique,La Honda
3,Manrique,La Cruz
3,Manrique,Ampliación La Honda
3,Manrique,Centralidad Versalles N° 2
3,Manrique,Ruta De La Memoria – Unidad Deportiva Santa Ines
4,Aranjuez,Centro Cultural Moravia
4,Aranjuez,Jardín Botánico
4,Aranjuez,Parque Aranjuez
4,Aranjuez,Parque de los deseos
4,Aranjuez,Parque Explora
4,Aranjuez,Parque Norte
4,Aranjuez,Parque Principal Campo Valdés (El Calvario)
4,Aranjuez,Inspección Aranjuez
4,Aranjuez,Hospital Infantil Concejo de Medellín
4,Aranjuez,Parque Berlín (contiguo estación Berlín Metro)
4,Aranjuez,Estación Metro Universidad (interior torniquete acceso Parque Explora)
4,Aranjuez,Ampliación Museo Cementerio San Pedro
4,Aranjuez,Cancha de Fútbol en Grama Sintética San Nicolás
4,Aranjuez,Cancha Sintética Las Esmeraldas
4,Aranjuez,Parque Norte Zona Infantil
4,Aranjuez,Placa Polideportiva Moravia
4,Aranjuez,Parque la Piñuela
4,Aranjuez,Parque Madre Laura Aranjuez
4,Aranjuez,Cancha San Isidro
5,Castilla,Parque Florencia
5,Castilla,Parque Juanes de la Paz
5,Castilla,Pista de Patinaje Francisco Antonio Zea
5,Castilla,Secretaría de Movilidad (Oficina Castilla)
5,Castilla,Terminal del Norte
5,Castilla,Parque Girardot
5,Castilla,CAV Parque Juanes de la Paz
5,Castilla,UPSS Castilla
5,Castilla,Centro de Salud Alfonso López
5,Castilla,Unidad Deportiva Tricentenario
5,Castilla,Placa Divino Niño
5,Castilla,Unidad Deportiva José René Higuita
5,Castilla,Mascerca Castilla
5,Castilla,Cancha la María
5,Castilla,Cancha la Tinaja
